# i i i
0 5 6
0 6 1
1 6 7
1 7 2
2 7 8
2 8 3
3 8 9
3 9 4
4 9 5
4 5 0
5 10 11
5 11 6
6 11 12
6 12 7
7 12 13
7 13 8
8 13 14
8 14 9
9 14 10
9 10 5
10 15 16
10 16 11
11 16 17
11 17 12
12 17 18
12 18 13
13 18 19
13 19 14
14 19 15
14 15 10
15 20 21
15 21 16
16 21 22
16 22 17
17 22 23
17 23 18
18 23 24
18 24 19
19 24 20
19 20 15
25 1 0
25 2 1
25 3 2
25 4 3
25 0 4
26 20 21
26 21 22
26 22 23
26 23 24
26 24 20
